기준_년_분기_코드,상권_코드,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2019_2,1000868,12049,6278,5771,27,3045,3854,2771,1610,742,13,933,1985,1812,1001,534,14,2112,1869,959,609,208
2019_2,1000867,10115,7115,3000,15,1368,2820,2726,2036,1150,6,700,1963,2079,1545,822,9,668,857,647,491,328
2019_2,1000866,14502,10889,3613,21,1600,3974,3844,3524,1539,11,873,2888,3131,2886,1100,10,727,1086,713,638,439
2019_2,1000865,18186,10158,8028,34,3205,5697,4593,3326,1331,22,1297,3219,2745,1907,968,12,1908,2478,1848,1419,363
2019_2,1000864,16445,10082,6363,44,3413,4842,4019,2823,1304,14,1197,2937,2860,2041,1033,30,2216,1905,1159,782,271
2019_2,1000863,12497,8267,4230,42,2309,3407,2736,2501,1502,7,845,2140,2074,1970,1231,35,1464,1267,662,531,271
2019_2,1000862,13590,9838,3752,49,2494,3876,3329,2787,1055,38,1374,2657,2630,2338,801,11,1120,1219,699,449,254
2019_2,1000861,14975,11362,3613,9,1484,4657,4333,2960,1532,4,821,3597,3603,2356,981,5,663,1060,730,604,551
2019_2,1000860,41106,20067,21039,326,8697,9758,11173,7568,3584,162,4186,5771,4703,2765,2480,164,4511,3987,6470,4803,1104
2019_2,1000859,12733,8561,4172,28,1835,3351,3106,2681,1732,17,982,2281,2248,1807,1226,11,853,1070,858,874,506
2019_2,1000858,6983,3566,3417,2,1191,1882,1810,1266,832,0,397,844,961,752,612,2,794,1038,849,514,220
2019_2,1000857,18090,10602,7488,45,2328,4777,4910,3852,2178,25,1222,3077,2877,1903,1498,20,1106,1700,2033,1949,680
2019_2,1000856,9596,6055,3541,33,1462,2847,2358,1800,1096,22,792,1814,1478,1157,792,11,670,1033,880,643,304
2019_2,1000855,16028,11533,4495,23,1974,4603,4356,3596,1476,12,1019,3162,3410,2858,1072,11,955,1441,946,738,404
2019_2,1000854,15047,6360,8687,35,2807,3704,4303,2863,1335,26,832,1544,1891,1337,730,9,1975,2160,2412,1526,605
2019_2,1000853,16774,8164,8610,41,2498,4036,4876,3255,2068,21,861,1820,2455,1704,1303,20,1637,2216,2421,1551,765
2019_2,1000852,46436,23315,23121,308,9185,11845,13022,8763,3313,149,4486,7159,5801,3327,2393,159,4699,4686,7221,5436,920
2019_2,1000851,10695,6765,3930,53,1851,3105,2549,1968,1169,39,1115,2063,1554,1171,823,14,736,1042,995,797,346
2019_2,1000850,11863,6444,5419,24,2352,3574,2742,2033,1138,5,950,2173,1754,964,598,19,1402,1401,988,1069,540
2019_2,1000849,23106,13802,9304,31,3565,7258,5382,4292,2578,20,1701,4023,3359,2842,1857,11,1864,3235,2023,1450,721
2019_2,1000848,20952,13375,7577,15,2534,6903,5532,3794,2174,8,1153,4139,3904,2614,1557,7,1381,2764,1628,1180,617
2019_2,1000847,16992,11435,5557,49,1779,4153,4875,3951,2185,19,771,2653,3587,2892,1513,30,1008,1500,1288,1059,672
2019_2,1000846,85264,76488,8776,31,7910,17382,22787,33801,3353,15,6276,14786,20286,32181,2944,16,1634,2596,2501,1620,409
2019_2,1000845,22589,14461,8128,75,4683,6712,4977,3294,2848,27,2072,4511,3700,2176,1975,48,2611,2201,1277,1118,873
2019_2,1000844,19777,12359,7418,210,5310,6004,4187,2601,1465,105,2633,3952,3043,1639,987,105,2677,2052,1144,962,478
2019_2,1000843,1124,583,541,0,155,286,293,218,172,0,47,146,137,125,128,0,108,140,156,93,44
2019_2,1000842,727,377,350,3,79,196,205,158,86,1,22,94,129,69,62,2,57,102,76,89,24
2019_2,1000841,402,168,234,2,41,76,119,98,66,1,10,19,58,43,37,1,31,57,61,55,29
2019_2,1000840,729,374,355,2,108,133,199,191,96,1,54,67,121,92,39,1,54,66,78,99,57
2019_2,1000839,2532,1846,686,4,408,671,767,447,235,2,261,500,591,334,158,2,147,171,176,113,77
2019_2,1000838,2140,1606,534,3,328,609,637,369,194,1,211,450,524,278,142,2,117,159,113,91,52
2019_2,1000837,5569,3260,2309,9,731,1326,1307,1153,1043,4,333,797,773,626,727,5,398,529,534,527,316
2019_2,1000836,2967,1557,1410,10,424,619,762,680,472,4,155,317,408,361,312,6,269,302,354,319,160
2019_2,1000835,3413,1832,1581,8,489,998,1068,591,259,7,210,573,583,283,176,1,279,425,485,308,83
2019_2,1000834,3280,1614,1666,14,514,826,789,561,576,6,134,355,420,344,355,8,380,471,369,217,221
2019_2,1000833,2508,1207,1301,3,302,553,551,537,562,3,99,294,268,266,277,0,203,259,283,271,285
2019_2,1000832,2016,995,1021,10,258,382,514,468,384,6,84,180,265,253,207,4,174,202,249,215,177
2019_2,1000831,5980,4243,1737,7,499,1085,1171,1151,2067,4,268,716,749,709,1797,3,231,369,422,442,270
2019_2,1000830,5926,4561,1365,5,560,1260,1403,1062,1636,2,257,915,1098,788,1501,3,303,345,305,274,135
2019_2,1000829,17980,10118,7862,39,3564,6331,4715,2087,1244,16,1429,3664,2907,1224,878,23,2135,2667,1808,863,366
2019_2,1000828,2466,1336,1130,4,301,537,479,538,607,1,111,290,252,292,390,3,190,247,227,246,217
2019_2,1000827,2745,1382,1363,3,333,598,601,586,624,3,122,325,299,311,322,0,211,273,302,275,302
2019_2,1000826,1959,1087,872,3,292,477,546,423,218,2,148,280,298,205,154,1,144,197,248,218,64
2019_2,1000825,817,382,435,0,119,194,241,160,103,0,42,98,104,76,62,0,77,96,137,84,41
2019_2,1000824,2490,1262,1228,11,277,443,573,559,627,7,91,220,303,317,324,4,186,223,270,242,303
2019_2,1000823,2499,1069,1430,9,557,558,473,474,428,4,195,221,240,204,205,5,362,337,233,270,223
2019_2,1000822,3363,2267,1096,0,519,898,1023,653,270,0,228,629,785,454,171,0,291,269,238,199,99
2019_2,1000821,3331,1514,1817,7,668,663,656,604,733,3,206,274,315,264,452,4,462,389,341,340,281
2019_2,1000820,2309,943,1366,5,530,543,484,423,324,3,147,212,225,167,189,2,383,331,259,256,135
2019_2,1000819,786,437,349,0,68,157,183,183,195,0,25,79,95,85,153,0,43,78,88,98,42
2019_2,1000818,1469,928,541,0,129,263,368,376,333,0,58,138,216,254,262,0,71,125,152,122,71
2019_2,1000817,2832,2034,798,4,389,648,801,586,404,2,254,479,594,418,287,2,135,169,207,168,117
2019_2,1000816,2680,1853,827,1,416,770,738,501,254,0,243,513,544,360,193,1,173,257,194,141,61
2019_2,1000815,3501,1739,1762,5,633,677,718,664,804,3,194,297,355,344,546,2,439,380,363,320,258
2019_2,1000814,3807,2469,1338,7,724,901,964,721,490,5,334,575,677,519,359,2,390,326,287,202,131
2019_2,1000813,1708,1051,657,2,188,315,427,414,362,1,93,182,257,259,259,1,95,133,170,155,103
2019_2,1000812,7532,3165,4367,8,1231,1782,1659,1735,1117,3,293,727,776,770,596,5,938,1055,883,965,521
2019_2,1000811,2149,1182,967,5,226,466,524,493,435,4,93,261,295,245,284,1,133,205,229,248,151
2019_2,1000810,1794,1093,701,1,180,343,464,427,379,1,82,181,258,281,290,0,98,162,206,146,89
2019_2,1000809,827,393,434,5,111,178,188,218,127,4,39,92,88,98,72,1,72,86,100,120,55
2019_2,1000808,947,511,436,6,104,200,226,267,144,5,32,107,123,152,92,1,72,93,103,115,52
2019_2,1000807,1478,719,759,18,167,268,326,377,322,16,65,140,160,150,188,2,102,128,166,227,134
2019_2,1000806,2196,1683,513,1,339,600,641,397,218,0,221,467,521,313,161,1,118,133,120,84,57
2019_2,1000805,1117,644,473,0,140,303,307,216,151,0,45,162,204,122,111,0,95,141,103,94,40
2019_2,1000804,2870,1609,1261,7,337,634,772,588,532,5,140,365,444,298,357,2,197,269,328,290,175
2019_2,1000803,3537,2297,1240,2,533,874,901,631,596,2,252,563,633,398,449,0,281,311,268,233,147
