기준_년_분기_코드,상권_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_2,1000195,2,,,,,1,,,,,,,,,,,,,,
2019_2,1001326,13,1,2,,,1,,,,,,,,,,,,,,1
2019_2,1000359,6,,,,,1,,,,,,,,,,,,,,2
2019_2,1000348,3,,,,,,,,,,,,,,,,,,,
2019_2,1000013,18,,,,,,,,,,,,,1,11,,,,,1
2019_2,1000469,27,,,,,,1,,,,,,,,20,,,,,1
2019_2,1000836,12,1,,,,,1,,,,,,,,4,,,,,1
2019_2,1001352,4,,,,,1,1,,,,,,,,,,,,,1
2019_2,1000308,9,,,,,1,,,,,,,,,,,,,,2
2019_2,1000451,22,1,1,,,1,,,,,,,,,2,,,,1,6
2019_2,1000499,28,,1,,,2,,,,,,,,,1,,,,1,4
2019_2,1000460,11,,,,,2,,,,,,,,,1,,,,,2
2019_2,1000161,27,,1,,,4,,,,,,,1,,2,,,,,2
2019_2,1000139,7,1,,,,,,,,,,,,,1,,,,,
2019_2,1001162,26,,,,,2,,,,,,,,,5,,,,,1
2019_2,1000796,22,1,1,,1,5,1,,,,,,,,,,,,,5
2019_2,1001348,12,,,,,2,,,,,,,,,,,,,,1
2019_2,1001002,28,1,2,,,5,,,,,,,,,2,,,,1,
2019_2,1000782,17,,1,1,1,4,1,,,,,,,,,,,,,
2019_2,1001076,17,,1,,1,2,,,,,,1,,,,,,,,4
2019_2,1000980,15,,1,,2,4,,,,,,,,,1,,,,,1
2019_2,1000237,44,1,1,,,4,,,,,,,,,1,,,,,6
2019_2,1001201,27,1,1,,,4,,,,,,,,,1,,,,,1
2019_2,1000432,8,,,,,1,,,,,,,,,1,,,,,2
2019_2,1000072,9,,2,,,1,1,,,,,,,,,,,,,
2019_2,1000707,12,,,,,3,,,,,,,,,1,,,,1,2
2019_2,1000542,5,1,,,,1,,,,,,,,,,,,,,1
2019_2,1001476,6,,,,,2,,,,,,,,,,,,,,
2019_2,1000270,20,1,,,,2,,1,1,1,,,,,3,,,,,
2019_2,1000263,7,,,,,1,,,,,,,,,,,,,,1
2019_2,1001298,10,,,,,3,,,,,,,,,,,,,,
2019_2,1000616,19,2,,,,3,,,,,,,,,,,,,,6
2019_2,1001299,7,,,,,1,,,,,,,1,,1,,,,,
2019_2,1000130,11,,1,,,1,,,,,,,,,,,,,,1
2019_2,1000794,9,1,,,,2,,,,,,,,,,,,,,1
2019_2,1001028,15,,,,,2,,,,,,,,,,,,,,3
2019_2,1000979,13,,2,,,1,,,,,,,,,3,,,,,
2019_2,1000917,14,,,,,3,,,,,,,,,3,,,,,
2019_2,1001089,15,,1,,1,2,,,,,,,,,2,,,,1,2
2019_2,1000930,27,1,1,,1,2,,,,,,,,,8,,,,,4
2019_2,1000596,19,,1,,,1,,1,,,,,,,,,,,,4
2019_2,1000101,4,,,,,2,,,,,,,,,,,,,,
2019_2,1000051,13,,,,,1,,,,,,,,1,2,,,,,4
2019_2,1001158,22,1,1,,,3,,,,,,,,,1,,,,,4
2019_2,1000996,6,1,,,1,2,,,,,,,,,,,,,,1
2019_2,1001109,75,2,6,,,4,,,,,,,,,15,,,,,9
2019_2,1000352,30,,2,,,6,,,,,,,,,2,,,,,3
2019_2,1000671,13,,,,,1,,,,,,,,,,,,,,1
2019_2,1000333,14,,,,,2,,,,,,,,,,,,,,6
2019_2,1000500,22,,1,,,4,,,,,,,,,,,,,,3
2019_2,1000191,2,,,,,1,,,,,,,,,,,,,,
2019_2,1000418,14,,1,,,2,,,,,,,,,,,,,,1
2019_2,1000526,13,,1,,,3,1,,,,,,,,,,,,,
2019_2,1000594,18,3,,,,1,,,,,,,1,,,,,,,6
2019_2,1000433,15,,,,,4,,,,,,,,,,,,,,3
2019_2,1000252,38,,,,,4,,,,,,,1,,,,,,,5
2019_2,1000478,8,1,,,,1,,,,,,,,,,,,,,2
2019_2,1001478,42,,1,,,7,2,,,,,,,,4,,,,,2
2019_2,1000169,14,,,,,2,1,,,,5,,1,,4,,,,,
2019_2,1001022,30,,4,,,3,,,,,,,,,1,,,,,3
2019_2,1000935,12,,,,,2,,,,,,,,,,,,,,
2019_2,1000933,16,,1,,,1,,,,,,,,,1,,,,,5
2019_2,1001180,147,2,3,,,11,,,,,,,,,16,,,,2,29
2019_2,1001276,20,,3,,,2,,,,,,,,5,,,,,,1
2019_2,1001219,10,,,,,1,,,,,,,,,1,,,,1,1
2019_2,1000200,8,,,,1,1,,,,,,,,,2,,,,,2
2019_2,1001085,319,6,13,,1,23,,,,,,,,1,43,,,,2,16
2019_2,1001242,47,,3,,,6,,,,,,,,1,12,,,,1,4
2019_2,1001430,132,3,8,,,16,,,,,,,,2,7,,,,1,19
2019_2,1001495,242,7,12,,,9,1,,,,,,,23,22,,,,3,31
