기준_년_분기_코드,상권_코드,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2019_1,1001300,8,144,20,,,,110,46,8,,,,,31,107348611
2019_2,1001298,12,49,44,4,,,22,71,4,,,,,63,135334325
2019_1,1001298,12,49,44,4,,,22,71,4,,,,,63,135334325
2019_2,1001297,1,138,18,,,,4,70,82,,,,,53,206038462
2019_1,1001297,1,138,18,,,,4,70,82,,,,,53,206038462
2019_2,1001295,1,14,4,,,,2,16,,,,,,59,127666667
2019_1,1001295,1,14,4,,,,2,16,,,,,,59,127666667
2019_2,1001294,1,,,5,,,,5,,,,,,109,178200000
2019_1,1001294,1,,,5,,,,5,,,,,,109,178200000
2019_2,1001292,2,11,1,,,,1,6,5,,,,,58,194700000
2019_1,1001292,2,11,1,,,,1,6,5,,,,,58,194700000
2019_2,1001290,4,32,4,2,8,2,,10,22,6,8,2,,75,278608333
2019_1,1001290,4,32,4,2,8,2,,10,22,6,8,2,,75,278608333
2019_2,1001286,2,46,20,,,,6,56,4,,,,,56,161094828
2019_1,1001286,2,46,20,,,,6,56,4,,,,,56,161094828
2019_2,1001284,1,18,,,,,8,10,,,,,,44,107222222
2019_1,1001284,1,18,,,,,8,10,,,,,,44,107222222
2019_2,1001283,5,42,17,,,,29,13,17,,,,,56,142100000
2019_1,1001283,5,42,17,,,,29,13,17,,,,,56,142100000
2019_2,1001282,13,294,94,4,,,40,316,36,,,,,60,155148043
2019_1,1001282,13,294,94,4,,,40,316,36,,,,,60,155148043
2019_2,1001279,2,9,80,,,,9,80,,,,,,65,136437006
2019_1,1001279,2,9,80,,,,9,80,,,,,,65,136437006
2019_2,1001277,1,16,,,,,16,,,,,,,34,62500000
2019_1,1001277,1,16,,,,,16,,,,,,,34,62500000
2019_2,1001271,3,368,6,,,,148,221,5,,,,,35,131482828
2019_1,1001271,3,368,6,,,,148,221,5,,,,,35,131482828
2019_2,1001269,1,52,,,,,50,2,,,,,,44,79826923
2019_1,1001269,1,52,,,,,50,2,,,,,,44,79826923
2019_2,1001264,7,84,22,18,17,,66,24,18,23,10,,,100,246036295
2019_1,1001264,7,84,22,18,17,,66,24,18,23,10,,,100,246036295
2019_2,1001263,1,28,,,,,24,4,,,,,,19,75285714
2019_1,1001263,1,28,,,,,24,4,,,,,,19,75285714
2019_2,1001261,3,528,,,,,,4,524,,,,,58,233511364
2019_1,1001261,3,528,,,,,,4,524,,,,,58,233511364
2019_2,1001260,1,240,,,,,238,2,,,,,,15,74600000
2019_1,1001260,1,240,,,,,238,2,,,,,,15,74600000
2019_2,1001259,3,33,4,,,,15,22,,,,,,55,104986111
2019_1,1001259,3,33,4,,,,15,22,,,,,,55,104986111
2019_2,1001257,19,221,219,2,,3,139,151,152,3,,,,60,130204509
2019_1,1001257,19,221,219,2,,3,139,151,152,3,,,,60,130204509
2019_2,1001256,8,174,212,,4,,124,96,166,4,,,,44,105639701
2019_1,1001256,8,174,212,,4,,124,96,166,4,,,,44,105639701
