기준_년_분기_코드,상권_코드,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
2018_4,1000057,LH,상권확장,100,58,102,51
2018_4,1000056,HH,정체,115,57,102,51
2018_4,1000055,LL,다이나믹,102,45,102,51
2018_4,1000054,LL,다이나믹,82,44,102,51
2018_4,1000053,LH,상권확장,88,54,102,51
2018_4,1000052,HH,정체,124,59,102,51
2018_4,1000051,LH,상권확장,90,56,102,51
2018_4,1000050,HL,상권축소,129,43,102,51
2018_4,1000049,LH,상권확장,100,52,102,51
2018_4,1000048,HH,정체,108,68,102,51
2018_4,1000047,HH,정체,133,58,102,51
2018_4,1000046,HH,정체,138,56,102,51
2018_4,1000045,LH,상권확장,94,53,102,51
2018_4,1000044,HH,정체,133,65,102,51
2018_4,1000043,HL,상권축소,115,51,102,51
2018_4,1000042,HH,정체,117,62,102,51
2018_4,1000041,HH,정체,109,57,102,51
2018_4,1000040,HH,정체,164,55,102,51
2018_4,1000039,HH,정체,164,60,102,51
2018_4,1000038,LH,상권확장,97,56,102,51
2018_4,1000037,HH,정체,107,59,102,51
2018_4,1000036,HL,상권축소,108,42,102,51
2018_4,1000035,HL,상권축소,110,47,102,51
2018_4,1000034,LH,상권확장,92,52,102,51
2018_4,1000033,HL,상권축소,125,50,102,51
2018_4,1000032,HH,정체,111,53,102,51
2018_4,1000031,HL,상권축소,107,47,102,51
2018_4,1000030,HH,정체,114,60,102,51
2018_4,1000029,HH,정체,123,71,102,51
2018_4,1000028,HH,정체,126,62,102,51
2018_4,1000027,LH,상권확장,82,53,102,51
2018_4,1000026,LH,상권확장,93,65,102,51
2018_4,1000025,HH,정체,118,88,102,51
2018_4,1000024,HH,정체,144,69,102,51
2018_4,1000023,HH,정체,124,76,102,51
2018_4,1000022,HH,정체,138,56,102,51
2018_4,1000021,LH,상권확장,99,63,102,51
2018_4,1000020,HH,정체,128,60,102,51
2018_4,1000019,HL,상권축소,130,48,102,51
2018_4,1000018,LH,상권확장,98,54,102,51
2018_4,1000017,HH,정체,168,62,102,51
2018_4,1000016,LH,상권확장,92,61,102,51
2018_4,1000015,HH,정체,103,57,102,51
2018_4,1000014,HH,정체,149,59,102,51
