기준_년_분기_코드,상권_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
2019_2,1000851,3256821,7,8597027035,1947007364,1074639371,649700456,982310912,1547293349,377833058,245263500,1410902592,362076433
2019_2,1000850,4956161,9,5030757740,1138994233,634561914,391369842,587394128,919992064,221117667,142735120,777029834,217562938
2019_2,1000849,4810117,8,6437682010,1432015712,823016044,522662697,731559089,1162852624,319892346,182517390,992973251,270192857
2019_2,1000848,4633351,8,6352002701,1450494869,807009426,485825596,746438058,1149823470,290078287,178155703,970832870,273344422
2019_2,1000847,6402479,9,8440173478,1846443924,1053559828,624611599,959397776,1552179317,374083191,231276619,1442712562,355908662
2019_2,1000846,3303154,7,5998992280,1380065340,753722433,454579650,691804028,1072226957,267667476,172922044,952305469,253698883
2019_2,1000845,3898124,8,6708120225,1559224472,837177589,524930095,775709545,1181762343,298902801,195685854,1054035240,280692286
2019_2,1000844,3828301,8,3415873012,779122517,427076040,272566202,390613962,609976668,158251970,98585938,537893807,141785908
2019_2,1000843,2557523,6,9301945827,2584115876,1141394390,726514780,1231959654,1472273297,342952358,313209666,1084409234,405116572
2019_2,1000842,2392224,5,5834616162,1633557461,700719867,438191270,812402748,907581472,230964335,180303072,692395063,238500874
2019_2,1000841,2354224,5,5135963332,1452588752,616411870,365580063,715697164,721644728,181407377,169614538,695019417,217999423
2019_2,1000840,2654455,6,6281743462,1718859443,764621050,456073335,848997847,944504713,228253670,203305209,846084562,271043633
2019_2,1000839,2292760,5,11953691545,2900513406,1565494125,863039077,1453350112,1621939524,453048996,445875571,2069498920,580931814
2019_2,1000838,2293626,5,10652595099,2698472719,1362282404,792117634,1319266001,1559445332,404760887,378266807,1641297430,496685885
2019_2,1000837,2932368,6,12401292270,3224220711,1572067404,1034343056,1468762176,1989896562,470516454,442766443,1625036006,573683458
2019_2,1000836,2631352,6,9118227933,2397035120,1166581259,733435747,1121754130,1373574850,342596945,333201753,1221384626,428663503
2019_2,1000835,3645555,7,12078980967,3316477505,1425120310,840552620,1598966376,1900510213,420850585,362660414,1712794261,501048683
2019_2,1000834,2733648,6,10323640938,2788550177,1293724173,867182498,1291323375,1620712423,400824308,364996183,1230543243,465784558
2019_2,1000833,2631378,6,8780650665,2450787700,1070517003,696050646,1167684486,1384019865,326780843,294150182,1011739736,378920204
2019_2,1000832,2672633,6,13326247708,3540233529,1633413245,1015622013,1697116995,2128768604,488907380,436366317,1803327916,582491709
2019_2,1000831,2767988,6,11320848045,2983875213,1392679027,856875849,1464099024,1891293285,448421430,349929227,1447868460,485806530
2019_2,1000830,2510288,6,7459350572,1958871842,918210683,571725979,942945465,1241967516,288669421,236290560,978613466,322055640
2019_2,1000829,2586157,6,11206868282,2850883978,1407398899,904933836,1345214071,1869287881,481884663,362552119,1498432174,486280661
2019_2,1000828,2783110,6,8166029597,2217408576,993561228,639418304,1053715635,1306324578,305840409,269969014,1032493351,347298502
2019_2,1000827,2715349,6,9546895844,2639672811,1162361963,760780110,1255268101,1512474457,358003162,318574669,1130041439,409719132
2019_2,1000826,2798152,6,11204214519,2928356844,1369256532,842634936,1419262664,1840182450,415836127,357266307,1548421918,482996741
2019_2,1000825,3127323,7,9910773742,2641509275,1176434931,689686258,1270268321,1591442048,346592619,297280718,1484041682,413517890
2019_2,1000824,2655985,6,10306297741,2713325895,1273895990,834579254,1278516866,1656964267,399860558,345290307,1353343970,450520634
2019_2,1000823,2438888,5,9000055514,2517383331,1100908175,677033026,1184681341,1331947020,312507879,315338907,1167714630,392541205
2019_2,1000822,2466127,6,6280001216,1764042655,763255873,486822022,813048020,979552540,215626788,212970859,770575060,274107399
2019_2,1000821,2417491,5,9329643020,2364039345,1197669406,804100468,1074290913,1465064980,368854013,343472143,1275876369,436275383
2019_2,1000820,2446276,6,10450573960,2646836286,1333477448,855006908,1250046560,1647691860,415999127,369345721,1452541770,479628280
2019_2,1000819,2362861,5,8141032435,2193698915,1012438615,625614845,1046236138,1266821747,291472777,279835212,1057448090,367466096
2019_2,1000818,2335278,5,8831521108,2314785707,1105006144,684529891,1118855362,1371319799,332419348,302745417,1206003785,395855655
2019_2,1000817,2575167,6,11974671717,2875855833,1565209220,866443829,1461979406,1667928497,468366128,433498979,2062178113,573211712
2019_2,1000816,2636157,6,10139760793,2410477668,1356882875,727182463,1195209672,1382589061,388087657,386394270,1783848506,509088621
2019_2,1000815,2438268,5,12696281928,3306067996,1614957885,1096834263,1481061802,2010142297,483711627,468074741,1645360233,590071084
2019_2,1000814,3453273,7,6798910884,1632608276,871880250,550288542,812044603,1178674928,299947273,215853841,933009554,304603617
2019_2,1000813,2379072,5,10509954144,2422553967,1406505840,766843382,1237049147,1435484759,415760643,397079717,1906145491,522531198
2019_2,1000812,3161257,7,11868580323,3148107245,1433983557,910334106,1522994507,1941905912,440090255,374446362,1592176260,504542119
2019_2,1000811,2548766,6,12669567733,3272752706,1555797207,956499721,1603171093,2099261117,475110282,399053898,1758902909,549018800
2019_2,1000810,2330753,5,12180267403,2957057663,1579569676,922503269,1475876282,1785589762,477573557,436001387,1970783584,575312223
2019_2,1000809,2249879,5,9044807023,2394105253,1086085527,644471295,1208510990,1500496851,326198593,269021923,1235817680,380098911
2019_2,1000808,2235237,5,9888084672,2538269006,1198639523,713030245,1291291542,1692269030,363466311,290529348,1378828778,421760889
2019_2,1000807,2487210,6,8875829923,2401441590,1067553429,626076079,1191350568,1416844349,339912567,265828416,1203903911,362919014
2019_2,1000806,2406731,5,9293028901,2256928996,1233595084,678375921,1099549398,1282059648,343901837,357224075,1576624290,464769652
2019_2,1000805,2401393,5,7650317951,1952791861,981445060,591332577,923733959,1160196981,287156741,275765415,1117540790,360354567
2019_2,1000804,2747087,6,10647002602,2722980933,1321194009,841159512,1316104545,1755048365,426549063,342103790,1460906439,460955946
2019_2,1000803,3231745,7,7391329399,1861258535,930584544,597380513,902244263,1280983000,315361432,233325083,947780401,322411628
2019_2,1000802,3111771,7,7285967169,1845342994,923114117,598101369,876754853,1211783048,296175169,245280478,960957561,328457580
2019_2,1000801,2986943,7,10759837781,2731458354,1349719746,867999475,1321242735,1856656013,448266278,342229901,1371466809,470798470
2019_2,1000800,2792168,6,9629182126,2518876322,1199845839,751975015,1192881211,1531242566,367347525,325971701,1315980600,425061347
2019_2,1000799,2784722,6,6966515496,1777381527,904020401,581227762,818922553,1074716571,280747276,256286731,944950823,328261852
2019_2,1000798,2411485,5,9087426456,2519197678,1105889334,716421772,1165438688,1421452783,322490643,310135626,1132127039,394272893
2019_2,1000797,2413155,5,9811770594,2735753419,1191864122,747266319,1275062470,1548581524,337511729,327476742,1220829152,427425117
2019_2,1000796,2418616,5,8942004919,2404912564,1098759041,691946120,1133786201,1452390510,332039050,292923940,1145863159,389384334
2019_2,1000795,2810282,6,8564694092,2232543750,1048725759,635896077,1099264273,1430651995,328409732,260961795,1160026813,368213898
2019_2,1000794,3210042,7,4314401774,1229880351,504484914,296166105,600944109,660034988,148848804,130437958,568845435,174759110
2019_2,1000793,2393723,5,10091030393,2634934305,1219419966,721593772,1320403471,1674704791,379773521,299102790,1418068975,423028802
2019_2,1000792,2417135,5,6935177091,1931820300,846727442,541824916,895876240,1097182586,247684205,234343543,837986775,301731084
2019_2,1000791,2221001,5,8652562316,2362630982,1028459373,609475796,1189375426,1397152343,303115035,260922718,1143784981,357645662
2019_2,1000790,2324629,5,7057196249,2050155551,820960481,487000742,1024525979,1070338508,233885634,218375616,868517861,283435877
2019_2,1000789,2279378,5,5843459023,1743949155,674251899,401543939,870851357,858473425,192628783,182815755,688379437,230565273
2019_2,1000788,2758589,6,10507437275,2701701103,1328015350,864786234,1250867649,1674060521,405670834,369628215,1433070234,479637135
2019_2,1000787,2869645,6,10605789288,2800798179,1277676650,762628448,1365874714,1743478345,380608071,322174160,1501235373,451315348
