기준_년_분기_코드,상권_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_2,1000066,100,7,7,,,8,2,,1,1,,,1,5,3,,,,1,23
2019_2,1000051,158,7,7,,,5,,1,,,7,,,8,22,,,,1,33
2019_2,1000072,86,3,2,,,10,1,,1,1,7,,,,7,,,,,19
2019_2,1000063,151,12,2,,,7,,1,,,7,,,5,25,,,,1,26
2019_2,1000101,83,4,1,,,9,2,2,,,,,1,,8,,,,,9
2019_2,1000150,96,4,1,,,10,4,1,1,,,,,,3,,,,,22
2019_2,1000136,137,5,2,,1,19,1,2,,,,,1,,7,,,,1,26
2019_2,1000015,180,10,8,12,1,8,1,1,1,,23,,,18,14,,,,2,29
2019_2,1000014,139,10,9,12,1,4,2,2,1,,21,,,3,4,,,,,27
2019_2,1000013,157,2,5,,,5,1,2,,,,,,13,33,,,,2,21
2019_2,1000107,63,5,,,,5,2,1,1,1,,,,,,,,,,22
2019_2,1000021,119,4,4,,,7,3,1,1,1,7,,3,4,27,,,,,16
2019_2,1000712,55,2,1,,1,6,1,,,1,,,,1,2,,,,1,11
2019_2,1000649,44,2,,,,,2,2,,1,,,1,,,,,,1,15
2019_2,1000567,144,6,7,,2,13,1,2,1,1,,,1,1,4,8,,,2,43
2019_2,1000616,80,3,2,,,8,1,2,1,,,,,,,,,,,23
2019_2,1000504,150,3,8,,,9,2,1,,,,,,2,32,,,,,40
2019_2,1000531,90,1,2,,,10,1,1,,,,,,,5,,,,,15
2019_2,1000594,72,3,1,,,4,1,1,1,2,,,1,,,,,,1,25
2019_2,1000592,103,3,3,,1,11,2,1,,2,,,,,3,,,,,23
2019_2,1000492,106,4,4,,,10,1,1,,,,,,1,11,,,,1,21
2019_2,1000501,90,2,1,,,6,1,2,,,,,,2,1,,,,,36
2019_2,1000581,74,2,1,,1,10,1,,,,,,1,,6,,,,,15
