기준_년_분기_코드,상권_코드,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2019_2,1000487,53,1562,1307,539,0,0,209,253,832,761,667,496,190,62,253705990
2019_2,1000488,107,1691,2466,99,22,0,772,631,572,1117,1186,0,0,57,172154298
2019_2,1000489,376,5267,1728,236,74,16,645,1981,1800,93,1293,561,948,59,188382018
2019_2,1000490,285,4001,1841,36,12,10,489,1528,887,149,1342,625,880,58,189931948
2019_2,1000491,157,2093,635,54,26,14,1025,1112,511,118,34,0,22,54,163124142
2019_2,1000492,356,5125,1459,127,144,2,1412,3369,1330,507,91,0,148,49,167065548
2019_2,1000493,190,2208,820,121,169,11,527,1533,761,249,87,23,149,52,173418095
2019_2,1000494,112,1572,1229,81,24,0,977,766,126,233,804,0,0,51,137765823
2019_2,1000495,94,1262,1201,103,36,0,800,611,124,263,804,0,0,52,146370368
2019_2,1000496,186,2106,1024,72,54,90,601,1274,575,258,61,381,196,50,179230243
2019_2,1000497,314,4467,1431,80,42,16,1331,3106,1224,287,62,8,18,53,161519440
2019_2,1000498,470,6325,1664,121,6,10,1670,4514,1452,331,151,6,2,50,160423167
2019_2,1000499,379,4543,1820,111,76,16,1311,3671,1167,363,40,8,6,55,156170866
2019_2,1000500,374,4792,1445,111,30,8,1349,3586,1140,303,0,6,2,51,151453218
2019_2,1000501,425,5731,2017,118,15,0,1416,3859,1673,729,204,0,0,50,146622445
2019_2,1000502,234,5867,2490,542,14,0,1390,1541,1152,4440,366,24,0,53,149291071
2019_2,1000503,390,5553,1258,133,4,6,1484,3774,1264,397,33,0,2,49,162266023
2019_2,1000504,230,2987,866,71,42,16,964,1945,861,121,65,0,26,55,173090829
2019_2,1000505,109,3638,4562,1610,548,0,130,377,1741,2850,2374,1330,1556,76,367129028
2019_2,1000506,170,2282,1834,728,54,16,101,1336,874,1003,1568,32,0,68,220836769
2019_2,1000507,121,1705,474,20,0,0,1506,533,160,0,0,0,0,46,84499760
2019_2,1000508,316,6442,3105,34,8,0,3000,4414,2175,0,0,0,0,53,110396508
2019_2,1000509,314,5959,2194,12,6,0,3210,3645,1316,0,0,0,0,50,97232923
2019_2,1000510,304,4994,1939,251,4,0,2727,3344,977,140,0,0,0,52,101561405
2019_2,1000511,395,5853,1873,68,4,0,3730,3267,801,0,0,0,0,51,96302949
2019_2,1000512,367,5000,2135,62,6,0,3215,2988,802,198,0,0,0,52,100719113
2019_2,1000513,213,2969,1114,20,2,0,2320,1243,542,0,0,0,0,48,90579004
2019_2,1000888,84,1116,456,330,172,345,118,579,261,274,126,498,563,114,469839952
2019_2,1000889,162,2212,744,70,516,326,201,1198,1090,366,125,98,790,65,290519033
2019_2,1000890,202,2684,963,56,110,24,250,1554,1294,531,116,72,20,57,229261757
2019_2,1000891,175,2164,802,78,110,26,217,1179,1127,392,155,88,22,60,240240587
2019_2,1000892,16,1640,1840,404,0,168,0,0,0,0,0,916,3136,84,820199348
2019_2,1000893,155,1863,3075,2151,438,358,229,936,552,266,709,1344,3849,77,390667630
2019_2,1000894,161,2722,510,218,32,24,321,1911,786,296,145,26,21,55,210329494
2019_2,1000895,208,2854,1047,66,6,48,253,1643,1443,519,103,16,44,57,228243725
2019_2,1000896,244,4166,885,214,117,92,520,3101,944,408,263,137,101,59,222939803
2019_2,1000897,203,3449,494,166,30,66,551,2072,1095,304,99,26,58,56,206083071
2019_2,1000898,140,1941,452,324,188,291,160,969,938,230,195,215,489,91,373287943
2019_2,1000899,77,953,204,476,210,32,76,636,285,120,104,152,502,64,293640941
2019_2,1000900,147,2098,1247,272,680,72,152,1005,770,514,265,889,774,72,342062383
2019_2,1000901,140,1506,1212,378,472,298,165,679,467,413,285,863,994,85,412124232
2019_2,1000902,198,2902,1756,1219,888,412,418,1508,1200,568,258,440,2785,69,298253930
2019_2,1000903,159,2358,921,62,32,38,163,1350,1122,446,54,38,238,57,235396490
2019_2,1000904,232,4300,3301,2361,820,102,352,1755,986,922,594,447,5828,68,342632533
2019_2,1000905,98,1283,298,178,75,38,105,892,372,178,117,172,36,61,243568078
2019_2,1000906,88,1196,288,170,74,22,106,803,349,190,92,166,44,58,241406802
2019_2,1000907,95,1690,284,176,90,98,70,797,986,141,137,43,164,75,311040019
2019_2,1000908,76,1485,472,168,26,42,42,636,962,125,132,48,248,65,264606821
2019_2,1000909,70,748,1616,278,114,20,64,408,232,496,232,494,850,70,329214469
2019_2,1000910,103,558,504,875,714,937,0,90,176,348,46,94,2834,149,1082417084
2019_2,1000911,97,474,814,642,457,714,0,102,150,144,208,185,2312,130,886529325
2019_2,1000912,153,861,1935,1339,342,227,2,136,164,262,380,734,3026,86,571190127
2019_2,1000913,224,2941,1244,633,251,276,258,2110,906,568,296,571,636,75,340863219
2019_2,1000914,289,3579,1350,658,487,586,362,2252,1223,612,327,552,1332,76,364119130
2019_2,1000915,189,2401,905,1181,635,319,250,1504,750,239,106,98,2494,71,357382370
2019_2,1000916,135,1863,538,514,307,123,355,1154,469,182,246,284,655,63,264464935
2019_2,1000917,191,2712,1054,657,831,345,380,1474,707,244,142,344,2308,67,334547921
2019_2,1000918,93,1491,1133,1116,361,78,62,260,463,528,431,563,1872,85,491388070
2019_2,1000919,164,2299,4110,930,218,46,222,1019,483,151,244,560,4924,66,379841832
2019_2,1000920,288,4225,2859,1120,136,46,354,1954,1027,365,656,1072,2958,62,300999838
2019_2,1000921,232,2366,4643,1462,26,103,262,864,571,345,698,1059,4801,73,422137740
2019_2,1000922,407,5544,2102,736,328,282,576,3181,1687,596,804,826,1322,58,259048543
2019_2,1000923,315,5499,1266,500,404,282,416,3486,1740,801,274,262,972,57,253860796
2019_2,1000924,199,2126,990,792,441,464,163,1350,780,393,181,340,1606,79,412303760
2019_2,1000925,124,2401,2717,1681,676,88,79,467,423,341,846,1369,4038,82,499547373
2019_2,1000926,75,876,1670,438,114,20,73,434,258,504,253,323,1273,68,321279630
2019_2,1000927,101,1328,1259,614,311,162,63,387,472,565,200,553,1434,89,549307606
2019_2,1000928,72,3052,374,14,218,0,8,176,132,60,10,62,3210,55,484526246
2019_2,1000929,87,817,1183,1106,1209,117,85,485,363,88,155,148,3108,84,510762189
2019_2,1000930,189,5576,1908,855,861,392,338,2750,1402,1186,468,377,3071,67,320825845
2019_2,1000931,138,861,1285,727,190,227,2,136,162,258,374,732,1626,84,538880414
2019_2,1000932,260,2955,1868,1598,322,381,270,1343,790,463,648,1047,2563,72,392348226
2019_2,1000933,143,2296,1185,419,32,2,12,492,910,660,394,262,1204,60,282196257
2019_2,1000934,127,3180,679,417,30,2,8,594,1730,738,248,262,728,59,269204169
2019_2,1000935,32,441,218,334,155,33,76,288,129,36,44,118,490,70,317485193
