기준_년_분기_코드,상권_코드,남성_유동인구_수,여성_유동인구_수,주중_유동인구_수,주말_유동인구_수,남성_상주인구_수,여성_상주인구_수,남성_직장_인구_수,여성_직장_인구_수
2019_2,1000652,40570,37714,53297,24983,819.0,787.0,99.0,58.0
2019_2,1000501,129378,150179,190589,88972,1483.0,1587.0,119.0,188.0
2019_2,1000502,102449,113342,150176,65615,1709.0,2123.0,334.0,169.0
2019_2,1000503,72177,85789,109556,48409,854.0,1019.0,286.0,453.0
2019_2,1000551,51007,43399,68571,25835,793.0,800.0,180.0,68.0
2019_2,1000552,67943,82277,103902,46320,1551.0,1670.0,117.0,95.0
2019_2,1000553,46797,49159,66640,29312,1451.0,1430.0,190.0,192.0
2019_2,1000602,98125,84603,126098,56628,1798.0,1735.0,122.0,161.0
2019_2,1000603,59903,56076,78561,37418,1659.0,1781.0,348.0,130.0
2019_2,1000604,164852,151513,216268,100099,1684.0,1669.0,210.0,183.0
2019_2,1000653,93698,94869,140960,47608,568.0,534.0,692.0,245.0
2019_2,1000654,40968,24352,47979,17340,668.0,392.0,747.0,285.0
2019_2,1000655,117778,78527,137470,58836,1909.0,1372.0,243.0,128.0
2019_2,1000504,191131,212357,290341,113146,721.0,888.0,712.0,790.0
2019_2,1000505,68658,76640,110875,34423,1255.0,1352.0,143.0,148.0
2019_2,1000506,227549,402804,491969,138397,1320.0,1444.0,463.0,348.0
2019_2,1000554,111886,140571,171574,80881,2684.0,2762.0,165.0,91.0
2019_2,1000555,53689,61996,78383,37300,1609.0,1596.0,397.0,165.0
2019_2,1000556,147008,164242,223042,88203,3311.0,3557.0,539.0,151.0
2019_2,1000605,166213,185125,243612,107727,1901.0,2045.0,335.0,240.0
2019_2,1000606,254448,236567,337295,153725,1543.0,1545.0,454.0,120.0
2019_2,1000607,172831,160982,234850,98956,1276.0,1357.0,527.0,271.0
2019_2,1000656,71877,66761,94672,43967,865.0,888.0,66.0,36.0
2019_2,1000657,58657,51847,72604,37905,991.0,974.0,149.0,51.0
2019_2,1000658,16873,15854,22537,10196,2190.0,2148.0,103.0,73.0
2019_2,1000659,147846,109464,179999,77309,1372.0,916.0,49.0,35.0
2019_2,1000507,22731,18366,28653,12444,1297.0,1052.0,65.0,48.0
2019_2,1000508,85936,65795,102993,48742,1747.0,1632.0,475.0,111.0
2019_2,1000509,73692,63139,93171,43665,1787.0,1705.0,321.0,250.0
2019_2,1000557,116359,129835,176626,69572,1503.0,1588.0,223.0,169.0
2019_2,1000558,89312,100872,128365,61821,1880.0,2043.0,160.0,164.0
2019_2,1000559,82375,108060,136836,53602,437.0,471.0,32.0,50.0
2019_2,1000608,92393,86129,130655,47866,2046.0,2241.0,587.0,351.0
2019_2,1000609,45830,46688,64335,28185,2602.0,2691.0,84.0,94.0
2019_2,1000610,67162,78112,94856,50421,2781.0,2898.0,442.0,907.0
2019_2,1000660,60635,59385,84602,35417,988.0,922.0,1523.0,175.0
2019_2,1000661,67493,75221,98162,44550,1302.0,1330.0,74.0,134.0
2019_2,1000662,19760,26449,30787,15424,1070.0,1060.0,6.0,19.0
2019_2,1000510,110861,114657,156971,68548,2012.0,1841.0,201.0,111.0
2019_2,1000511,60965,56055,80911,36110,1921.0,1803.0,180.0,262.0
2019_2,1000512,70860,56584,89734,37710,1808.0,1883.0,109.0,62.0
2019_2,1000560,117711,135264,171716,81257,1321.0,1399.0,110.0,57.0
2019_2,1000561,95301,118466,154803,58962,2077.0,2252.0,131.0,179.0
2019_2,1000562,88934,113553,145200,57284,1771.0,2031.0,146.0,46.0
2019_2,1000611,65716,64481,88452,41744,1670.0,1680.0,1501.0,673.0
2019_2,1000612,99054,100891,138348,61596,1109.0,1097.0,124.0,55.0
2019_2,1000613,67094,68824,92627,43296,1760.0,1933.0,1499.0,1743.0
2019_2,1000663,54460,55189,74704,34941,1139.0,1104.0,275.0,45.0
2019_2,1000664,77723,76937,106434,48224,1316.0,1282.0,26.0,53.0
2019_2,1000665,181354,166842,237708,110489,1656.0,1623.0,343.0,161.0
2019_2,1000666,19302,15709,23170,11839,318.0,331.0,23.0,22.0
2019_2,1000513,65738,59542,88985,36297,1333.0,1091.0,69.0,83.0
2019_2,1000514,14437,17784,22293,9925,1059.0,1001.0,152.0,95.0
2019_2,1000515,68019,55826,84194,39650,2378.0,2445.0,138.0,115.0
2019_2,1000516,54688,35675,68534,21823,358.0,352.0,77.0,108.0
2019_2,1000563,360097,318769,477536,201329,1055.0,1039.0,119.0,97.0
2019_2,1000564,186735,164484,234269,116953,1452.0,1459.0,232.0,146.0
2019_2,1000565,196005,180870,258426,118443,1383.0,1422.0,200.0,99.0
2019_2,1000614,151039,153820,209536,95321,1224.0,1263.0,597.0,237.0
2019_2,1000615,70383,78217,102463,46138,1086.0,1201.0,127.0,113.0
2019_2,1000616,70915,71759,97214,45462,1467.0,1529.0,156.0,175.0
2019_2,1000667,76535,71728,104053,44216,1649.0,1620.0,67.0,40.0
2019_2,1000668,62341,38804,79356,21789,724.0,545.0,988.0,839.0
2019_2,1000669,57256,37625,69738,25144,674.0,584.0,2744.0,1599.0
2019_2,1000517,38621,38744,52545,24818,905.0,954.0,681.0,284.0
2019_2,1000518,98883,106473,138358,66996,604.0,659.0,575.0,311.0
