기준_년_분기_코드,상권_코드,아파트_단지_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_1,1001406,1.0,20.0,0,0,0,0,5.0,0,0,0,0,0,0,1.0,0,3.0,0,0,0,1.0,2.0
2019_2,1001405,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001405,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001403,4.0,6.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001403,4.0,6.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001401,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001401,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001400,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001400,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001399,6.0,6.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001399,6.0,6.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001398,22.0,4.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001398,22.0,4.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001397,13.0,8.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001397,13.0,8.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001396,21.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001396,21.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001395,9.0,37.0,0,2.0,0,0,7.0,2.0,0,0,0,0,0,0,0,3.0,0,0,0,0,1.0
2019_1,1001395,9.0,37.0,0,2.0,0,0,7.0,2.0,0,0,0,0,0,0,0,3.0,0,0,0,0,1.0
2019_2,1001394,18.0,24.0,1.0,1.0,0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_1,1001394,18.0,24.0,1.0,1.0,0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_2,1001391,18.0,12.0,0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
2019_1,1001391,18.0,12.0,0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
2019_2,1001390,31.0,13.0,1.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_1,1001390,31.0,13.0,1.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_2,1001389,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001389,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001388,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001388,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001386,1.0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001386,1.0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001385,3.0,20.0,0,1.0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0
2019_1,1001385,3.0,20.0,0,1.0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0
2019_2,1001382,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001382,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001381,12.0,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0
2019_1,1001381,12.0,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0
2019_2,1001380,7.0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_1,1001380,7.0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_2,1001379,1.0,9.0,0,1.0,0,0,3.0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,1.0
2019_1,1001379,1.0,9.0,0,1.0,0,0,3.0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,1.0
2019_2,1001377,3.0,17.0,0,1.0,0,0,3.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,3.0
2019_1,1001377,3.0,17.0,0,1.0,0,0,3.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,3.0
2019_2,1001375,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001375,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001374,6.0,11.0,0,0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001374,6.0,11.0,0,0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001371,15.0,6.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_1,1001371,15.0,6.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_2,1001367,15.0,18.0,1.0,1.0,0,0,3.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0
2019_1,1001367,15.0,18.0,1.0,1.0,0,0,3.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0
2019_2,1001365,20.0,20.0,1.0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0
2019_1,1001365,20.0,20.0,1.0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0
2019_2,1001364,10.0,13.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
2019_1,1001364,10.0,13.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
2019_2,1001363,5.0,2.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001363,5.0,2.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001362,5.0,4.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_1,1001362,5.0,4.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
